Date,Open,High,Low,Close,Adj Close,Volume,RSI,50_day_MA,200_day_MA,Government Securities - 5-Year Bond Yield (Per Cent Per Annum),Government Securities - 2-Year Bond Yield (Per Cent Per Annum),Government Securities - 10-Year Bond Yield (Per Cent Per Annum),Government Securities - 1-Year Treasury Bills Yield (Per Cent Per Annum),Government Securities - 15-Year Bond Yield (Per Cent Per Annum),Government Securities - 20-Year Bond Yield (Per Cent Per Annum),Singapore Overnight Rate Average (Per Cent Per Annum),Dividends,ROA,ROE,Cost/Income Ratio
2021-10-01,27.3636360168457,29.14545440673828,27.16363525390625,28.66363525390625,24.52377700805664,82344255,88.07144517412829,27.62399955749512,26.51718132019043,1.5,0.9,1.8,0.4,2.1,2.2,0.2,0.3,1.01,12.1,46.8
2021-11-01,29.08181762695312,29.72727203369141,27.15454483032227,27.15454483032227,23.23264122009277,94969412,83.8775626424503,28.32709041595459,27.10627223968505,1.3,0.8,1.7,0.5,1.9,2.0,0.1,0.3,1.01,12.1,46.8
2021-12-01,27.35454559326172,29.81818008422852,27.28181838989257,29.69090843200684,25.66546821594238,76978085,86.09971794610225,29.12127223968506,27.62445408821106,1.4,0.9,1.7,0.5,1.9,2.1,0.3,0.3,1.01,12.1,46.8
2022-01-01,29.81818008422852,32.84545516967773,29.74545478820801,32.0,27.6614933013916,117579369,83.92131643535787,30.26999961853027,28.22481775283813,1.6,1.0,1.8,0.7,2.0,2.1,0.4,0.3,0.81,9.9,50.7
2022-02-01,32.0,34.08181762695312,30.53636360168457,30.74545478820801,26.5770378112793,106021740,76.69360968409946,31.74181762695313,28.78895409584045,1.7,1.2,1.9,0.7,2.1,2.1,0.3,0.3,0.81,9.9,50.7
2022-03-01,31.0,33.0,28.16363525390625,32.57272720336914,28.15657234191895,125414191,79.5013929302354,31.96327220916748,29.24313591957092,2.3,1.9,2.3,1.0,2.5,2.6,0.6,0.3,0.81,9.9,50.7
2022-04-01,32.20909118652344,32.65454483032227,29.68181800842285,30.83636283874512,26.65562057495117,90077104,69.67567818295497,31.19163593292236,29.62118136405945,2.4,2.0,2.5,1.7,2.7,2.8,0.7,0.327273,1.04,13.1,43.9
2022-05-01,30.83636283874512,31.3636360168457,27.54545402526855,28.12727165222168,24.56412124633789,114881614,55.56130095532829,30.36563591003418,29.72004497528076,2.5,2.1,2.7,1.8,2.9,2.9,0.7,0.327273,1.04,13.1,43.9
2022-06-01,28.30908966064453,28.51818084716797,26.83636283874512,26.9818172454834,23.82812118530273,98465728,49.40934682888688,28.45690853118897,29.71763585090637,2.8,2.7,3.0,2.3,3.1,3.1,1.7,0.327273,1.04,13.1,43.9
2022-07-01,26.95454406738281,29.04545402526855,26.77272605895996,28.60909080505371,25.26519584655762,86162861,53.40586774668686,27.68363567352295,29.7626812839508,2.6,2.6,2.7,2.9,2.7,2.8,2.1,0.327273,0.99,13.4,43.7
2022-08-01,28.54545402526855,30.57272720336914,28.54545402526855,29.63636207580566,26.17240142822266,115096848,56.32652653433674,28.51509021759033,29.86895399093628,2.9,2.8,3.0,2.9,3.0,3.0,2.3,0.327273,0.99,13.4,43.7
2022-09-01,29.39999961853028,30.65454483032227,29.18181800842285,30.35454559326172,27.09916305541992,97301030,56.69964104281543,29.73963584899903,29.996044921875,3.5,3.4,3.5,3.2,3.4,3.4,4.4,0.327273,0.99,13.4,43.7
2022-10-01,30.24545478820801,31.52727127075196,29.20000076293945,31.09090805053711,27.75655746459961,76453520,59.3542653594149,30.05109043121337,30.002863073349,3.3,3.1,3.4,3.7,3.4,3.3,2.9,0.327273,1.18,16.3,40.2
2022-11-01,31.21818161010743,32.76363754272461,30.90909004211425,31.99090957641602,28.56003761291504,92205628,60.4731182718073,30.81945400238037,29.89872673034668,2.9,3.1,3.1,3.8,3.1,2.9,3.9,0.327273,1.18,16.3,40.2
2022-12-01,32.17272567749023,32.17272567749023,30.08181762695312,30.83636283874512,27.81926536560058,70887286,55.12655509952575,31.16399936676025,29.86999945640564,2.8,3.1,3.1,4.2,3.1,2.6,2.5,0.327273,1.18,16.3,40.2
2023-01-01,30.83636283874512,32.72727203369141,30.3818187713623,32.53636169433594,29.35293197631836,83769644,62.58502946236973,31.45563579559326,29.8342267036438,2.9,3.1,3.0,3.9,3.0,2.9,3.9,0.327273,1.23,17.2,42.8
2023-02-01,32.72727203369141,33.09090805053711,31.03636360168457,31.06363677978516,28.02429962158203,87261797,53.37807867935079,31.66109043121338,30.02086307525635,3.4,3.7,3.3,3.9,3.3,3.1,3.5,0.327273,1.23,17.2,42.8
